"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med","med.urb","med.rur"
2021-07-11,2021-07-11 03:30:00,11.0989484786987,10.7097215652466,11.4080147743225,10.7236108779907,2021-07-11 12:00:00,33.2884140014648,32.8118515014648,32.9888538360596,32.4251708984375,0.6,19.6187337693227,18.9855464080634
2021-07-12,2021-07-12 04:00:00,13.120080947876,13.1312494277954,13.1436077308655,13.4152219390869,2021-07-12 14:30:00,30.7667236328125,29.4271221160889,30.5452981948853,29.2881946563721,0.3,19.5060667871785,19.2159948094331
2021-07-13,2021-07-13 02:00:00,14.1096649169922,14.1000003814697,14.1365558624268,14.1048612594604,2021-07-13 11:30:00,24.7868137359619,24.7798614501953,24.6682146072388,24.5774997711182,0.1,17.6151851143192,17.4769843669069
2021-07-14,2021-07-14 03:30:00,14.802170753479,14.8041667938232,14.8060187339783,14.8118057250977,2021-07-14 12:00:00,22.7679977416992,22.593807220459,22.7231978607178,22.4946626281738,0.1,16.8536912707201,16.7695261516076
2021-07-15,2021-07-15 23:30:00,15.4069004058838,15.3999996185303,15.4327401161194,15.3999996185303,2021-07-15 11:30:00,23.6465282440186,23.6951389312744,23.6118068695068,23.6875,0,17.6449957768378,17.6759857536805
2021-07-16,2021-07-16 04:00:00,8.80765342712402,8.71041679382324,8.90870952606201,8.81660774230957,2021-07-16 15:00:00,25.9909763336182,25.8687496185303,25.8724466323853,25.6087497711182,0.3,17.4786377032427,17.1630861480165
2021-07-17,2021-07-17 00:30:00,10.0898723602295,9.26627635955811,10.3307019233704,9.51163257598877,2021-07-17 14:00:00,37.3791694641113,37.3791694641113,37.305489730835,37.1847796630859,0.9,21.8305767293652,20.9755670675546
2021-07-18,2021-07-18 03:00:00,12.6201391220093,12.1999998092651,13.0784721374512,12.1999998092651,2021-07-18 12:30:00,39.9701385498047,38.6040420532227,39.7756935119629,36.8590869140625,1.1,24.4242141321408,23.3214698070668
2021-07-19,2021-07-19 03:30:00,14.1187496185303,14.0137147903442,14.7174646377563,14.3000001907349,2021-07-19 12:00:00,41.0425224304199,38.5926895141602,40.3365573883057,36.7814567565918,1.3,23.8481696922941,22.5510919853135
2021-07-20,2021-07-20 02:00:00,13.5013885498047,13.5402774810791,13.5152778625488,13.5663513946533,2021-07-20 13:30:00,39.2618064880371,37.9453353881836,39.1832172393799,36.4208335876465,1,23.4778513008348,22.4557327200945
2021-07-21,2021-07-21 04:00:00,12.8999996185303,12.8999996185303,13.4019369888306,12.8999996185303,2021-07-21 12:30:00,42.148796081543,39.3813858032227,41.4960647583008,38.8055093383789,1.6,24.6126519117795,23.0541547779002
2021-07-22,2021-07-22 04:30:00,13.3763885498047,13.3000001907349,13.4076385498047,13.3000001907349,2021-07-22 12:30:00,39.0680541992188,39.3020858764648,38.9492267608643,38.3795848083496,1.1,23.8960174887051,22.8308943320507
2021-07-23,2021-07-23 03:30:00,11.7111110687256,11.1000003814697,11.8000001907349,11.1000003814697,2021-07-23 12:30:00,39.8563346862793,37.6232452392578,39.364164352417,36.1725238037109,1,22.363265099401,21.3395152994949
2021-07-24,2021-07-24 04:00:00,15.2013883590698,15.2569446563721,15.215277671814,15.3000001907349,2021-07-24 12:30:00,36.510196685791,38.1083335876465,36.1625007629395,37.5245260620117,0.1,20.4644240582194,20.331373524916
2021-07-25,2021-07-25 02:30:00,13.6000003814697,13.4201383590698,13.7788154602051,13.5601881408691,2021-07-25 11:30:00,33.6881942749023,33.1027488708496,33.5927783966064,32.462416229248,0.5,21.7661809437069,21.2397909175783
2021-07-26,2021-07-26 05:00:00,12.125,12.0770835876465,13.1114921379089,12.4881940841675,2021-07-26 14:30:00,29.6909866333008,29.4311256408691,29.6299228668213,29.216667175293,0.5,20.0854164094622,19.5826291109769
2021-07-27,2021-07-27 20:00:00,9.05416679382324,9.84861087799072,9.58112821578979,9.94861156463623,2021-07-27 13:00:00,28.8944435119629,28.6104698181152,28.8564968109131,28.3121519088745,0.4,19.4815910092324,19.0972167764167
2021-07-28,2021-07-28 20:30:00,10.6000003814697,10.6000003814697,10.6000003814697,10.6000003814697,2021-07-28 13:30:00,27.2923889160156,27.2230415344238,27.1908531188965,26.8348342132568,0.3,19.1308447371566,18.8070342206397
2021-07-29,2021-07-29 23:30:00,12.5,12.5,12.5,12.5,2021-07-29 12:00:00,27.6909828186035,27.8688945770264,27.6063154220581,27.4166679382324,0.5,18.6946034743551,18.168686482616
2021-07-30,2021-07-30 03:30:00,8.89999961853027,8.89999961853027,9.43106126785278,8.89999961853027,2021-07-30 13:30:00,29,29,28.747222328186,29,0.2,18.6879575080498,18.4736783231444
2021-07-31,2021-07-31 01:30:00,6.25833320617676,5.19999980926514,6.84166669845581,6.59449981689453,2021-07-31 12:30:00,27.9993057250977,27.9298610687256,27.9923610687256,27.8999996185303,0.3,17.7609548820621,17.4540009986954
2021-08-01,2021-08-01 02:00:00,12.2873554229736,12.1805553436279,12.2994534492493,12.2128569412231,2021-08-01 10:00:00,26.8889617919922,26.7999992370605,26.7999992370605,26.7999992370605,0.3,17.2329971929984,16.9604469697491
