"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-10-26,2021-10-26 05:30:00,-1.50833332538605,-3.3287181854248,-0.765418710708618,-3.04691370010376,2021-10-26 12:00:00,21.8758144378662,20.9766635894775,21.4680154037476,20.5492420196533,0.8
2021-10-27,2021-10-27 03:00:00,0.713020801544189,-1.28958332538605,1.0625,-0.345920145511627,2021-10-27 11:00:00,19.2999706268311,19.6540260314941,19.2687492370605,19.4633255004883,0.7
2021-10-28,2021-10-28 23:30:00,-0.925000011920929,-1.68074357509613,-0.352592585086822,-1.40646202564239,2021-10-28 12:00:00,22.1521797180176,20.7653980255127,21.5812921905518,20.0618057250977,1.1
2021-10-29,2021-10-29 05:30:00,-3.23787117004395,-3.29513883590698,-2.63083341598511,-3.05208325386047,2021-10-29 12:00:00,20.6536026000977,19.660270690918,20.6000003814697,19.1743049621582,1.4
2021-10-30,2021-10-30 06:00:00,-1.99810087680817,-3.09722208976746,-1.70971573114395,-2.65119600296021,2021-10-30 12:00:00,21.1317615509033,19.9962673187256,21.0530271911621,19.7139167785645,0.8
2021-10-31,2021-10-31 03:30:00,-0.86944442987442,-0.87139755487442,0.417592614889145,-0.659027755260468,2021-10-31 12:00:00,22.0888118743896,22.0636577606201,22.0152940750122,21.110350227356,1.3
2021-11-01,2021-11-01 02:30:00,-1.24097216129303,-2.10138893127441,0.260416656732559,-1.73680555820465,2021-11-01 11:30:00,18.5,18.9722213745117,17.4540854263306,18.5701124191284,0.7
2021-11-02,2021-11-02 22:00:00,-4.0402774810791,-4.80000019073486,-1.58261857271194,-3.48750019073486,2021-11-02 11:30:00,17,16.942361831665,17,16.1610704421997,0.6
2021-11-03,2021-11-03 06:00:00,0.020833333954215,-0.530555605888367,0.155066561698914,-0.279166668653488,2021-11-03 11:30:00,16.3992862701416,15.7479162216187,16.3625421905518,15.6999998092651,0.6
2021-11-04,2021-11-04 23:00:00,2.44978284835815,2.44170999526978,3.09791660308838,2.66716264724731,2021-11-04 10:30:00,11.1822919845581,10.8409719467163,11.1212831115723,10.4649839401245,0.5
2021-11-05,2021-11-05 20:30:00,-3.46250009536743,-3.85138893127441,-2.63453715324402,-3.45759558677673,2021-11-05 12:00:00,11.496527671814,10.996527671814,11.3923606872559,10.9240884780884,0.5
2021-11-06,2021-11-06 06:00:00,-2.41180539131165,-2.48405623435974,-1.09999990463257,-1.43680560588837,2021-11-06 11:30:00,17.369197845459,17.3458709716797,17.331353302002,15.1228312683105,1.2
2021-11-07,2021-11-07 06:30:00,-7.47499990463257,-7.69374990463257,-6.02916669845581,-7.47499990463257,2021-11-07 11:00:00,10.5693864822388,10.8386716842651,9.90794279098511,10.6593704223633,0.4
2021-11-08,2021-11-08 23:30:00,-6.78125,-7.49688816070557,-6.5,-7.33680582046509,2021-11-08 11:00:00,13.1764364242554,13.2993059158325,11.9317329597473,13.1999998092651,0.2
2021-11-09,2021-11-09 03:30:00,-6.5,-6.39375019073486,-6.5,-6.19999980926514,2021-11-09 11:00:00,16.6000003814697,16.9833335876465,16.6000003814697,16.6000003814697,0.5
2021-11-10,2021-11-10 05:00:00,-2.29617643356323,-2.56672930717468,-1.69583336830139,-2.21338248252869,2021-11-10 11:00:00,15.6647138595581,15.5791673660278,15.4834407997131,15.2562503814697,0.6
2021-11-11,2021-11-11 00:00:00,-1.02973091602325,-1.94886183738708,-0.69407377243042,-1.34236109256744,2021-11-11 11:30:00,10.2124996185303,10.5703897476196,9.94381807327271,10.347222328186,0.2
2021-11-12,2021-11-12 20:30:00,-3.59652757644653,-3.53819441795349,-3.46060868263245,-3.26306900978088,2021-11-12 12:00:00,9.69722175598145,9.78611087799072,9.64273324966431,9.64799880981445,0.2
2021-11-13,2021-11-13 23:00:00,-4.89941644668579,-4.9375,-3.57641188144684,-4.11805534362793,2021-11-13 10:30:00,10.6986112594604,10.5,10.6430549621582,10.4270830154419,0.3
2021-11-14,2021-11-14 07:00:00,-5,-5.86875009536743,-5,-5.15405082702637,2021-11-14 11:30:00,11.0105762481689,11.1000003814697,10.8776219177246,11.0305557250977,0.1
2021-11-15,2021-11-15 20:30:00,0.00138888892251998,-0.554166674613953,0.193055555224419,-0.0271169897168875,2021-11-15 12:00:00,11.4444446563721,11.5138025283813,10.965277671814,11.2548608779907,0.4
2021-11-16,2021-11-16 22:00:00,-2.5,-2.98862862586975,-2.5,-2.48525102615356,2021-11-16 12:00:00,13.9951391220093,13.303448677063,13.9659719467163,12.8658658599854,0.4
2021-11-17,2021-11-17 04:00:00,-3.22157120704651,-3.61595797538757,-2.73118576526642,-3.3753182888031,2021-11-17 10:30:00,11.4841728210449,9.88958263397217,11.2258700370789,9.63958358764648,0.4
2021-11-18,2021-11-18 15:00:00,-5.11991214752197,-6.33967971801758,-3.75555539131165,-5.03151035308838,2021-11-18 11:00:00,12.1000003814697,12.3000001907349,12.1000003814697,12.2062501907349,0.6
2021-11-19,2021-11-19 00:00:00,4.07339382171631,3.80694437026978,4.44374990463257,3.95763897895813,2021-11-19 11:00:00,12.5826396942139,12.6819686889648,12.4954536247253,12.3317724609375,0.3
2021-11-20,2021-11-20 23:30:00,2.90742182731628,2,3.22672590255737,2.11848950386047,2021-11-20 12:00:00,12.4979162216187,12.4986114501953,12.434027671814,12.3791666030884,0.4
2021-11-21,2021-11-21 04:00:00,0.43472221493721,-0.261305332183838,1.04166662693024,0.290895544886589,2021-11-21 12:00:00,9.19722175598145,9.39999961853027,9.11388874053955,9.33541679382324,0.6
2021-11-22,2021-11-22 23:30:00,-3.12725687026978,-3.19139647483826,-2.75366122722626,-3.14767577171326,2021-11-22 10:00:00,10.9992713928223,10.6206884384155,10.9255702400208,10.5,0.5
2021-11-23,2021-11-23 06:00:00,-3.38156008720398,-4.06814002990723,-2.9008780002594,-3.8006641626358,2021-11-23 12:00:00,9.59722232818604,9.79930591583252,9.51388931274414,9.70068246841431,0.9
2021-11-24,2021-11-24 23:30:00,-4.56961822509766,-4.79584789276123,-4.34686722755432,-4.63858509063721,2021-11-24 11:00:00,10.3354167938232,10.5319442749023,10.1000003814697,10.4909725189209,0.5
2021-11-25,2021-11-25 15:30:00,-9.89861106872559,-9.89861106872559,-9,-9.69999980926514,2021-11-25 12:00:00,5.875,6.18261480331421,5.73755562782287,5.99305534362793,0.2
2021-11-26,2021-11-26 23:30:00,-4.46193075180054,-4.77408838272095,-2.99930548667908,-3.95613901138306,2021-11-26 11:00:00,6.77500009536743,6.95976543426514,6.69999980926514,6.68763017654419,0.4
2021-11-27,2021-11-27 06:30:00,-8.95694446563721,-10.2365522384644,-8.80000019073486,-8.85558986663818,2021-11-27 11:00:00,10.4916524887085,9.78137588500977,10.2455035400391,9.55071830749512,0.6
2021-11-28,2021-11-28 19:00:00,-8.7722225189209,-8.73923587799072,-8.62483097076416,-7.73394107818604,2021-11-28 12:00:00,4.89305543899536,5.20869493484497,4.59999990463257,5,0.3
2021-11-29,2021-11-29 00:30:00,-6.27533292770386,-6.27361106872559,-6.00191411972046,-5.6652774810791,2021-11-29 11:30:00,5.69513893127441,5.29791688919067,5.59791660308838,4.82549587249756,0.5
2021-11-30,2021-11-30 04:00:00,-2.81744790077209,-3.5986111164093,-2.66790190219879,-3.46980142593384,2021-11-30 21:00:00,4.59791660308838,4.49092864990234,4.53541660308838,4.33747100830078,0.4
2021-12-01,2021-12-01 02:30:00,2.32500004768372,1.79999995231628,2.63151911258698,2.13884572029114,2021-12-01 18:30:00,7.49998569488525,7.80000019073486,7.47499990463257,7.71458339691162,0.2
